0.2_LJ,0.2_WCA,1_LJ,1_WCA,5_LJ,5_WCA
1.3608589741845052,0.980372933864042,0.6084020320627871,0.43819865297734073,0.27207330743195446,0.1959504872308865
1.6589800590596901,1.1953143676786995,0.7415427054444065,0.5340938830227577,0.3316034685722813,0.23881965772366653
1.9067594622938318,1.3740982480247337,0.8521516829995739,0.6137605106487448,0.38105109133032555,0.274437266385277
2.9354781893970525,2.1218358123448406,1.3104098962155362,0.9439750790579129,0.5858642669666292,0.42196051293519954
3.62030265730215,2.6145841503908804,1.614465611882467,1.1631964638827497,0.7217298420855106,0.519766728692163
3.982794328500876,2.87836048586725,1.774937877174299,1.278935925310142,0.793304509936139,0.5713698019632266
4.694835680751174,3.3982397118292726,2.0892092343048154,1.5058426695578846,0.933515057597879,0.672409039867132
5.231767290990897,3.79218809252939,2.325311010347634,1.6764178303800439,1.0387667760834338,0.7482285688632163
6.008532115604158,4.3502849436638105,2.6652452025586357,1.922226707417873,1.1901361515757403,0.8572947207791094
6.553509404285995,4.770082045411181,2.9026733621665555,2.094109270621741,1.2957396081683425,0.9334104952676088
7.74593338497289,5.665080444142307,3.418803418803419,2.468465355088741,1.5249248974488008,1.0986475648476726
